value,count(1)
brits,187
brits2020,171
askmonstax,94
benvenutalalisa,67
animalcrossing,62
coronavirus,55
ashrafsinclair,47
riaa,44
bts,40
thebachelor,36
maga,33
worldalbums,33
shopmycloset,32
maga kag2020,32
atinselfieday morhot10,32
social50,29
loveisland,26
killthislove bestmusicvideo iheartawards,25
happy23rdbdayplan,25
giveaway,23
astros,23
fansdemandsidnaazshow,23
nowplaying,22
ultimateloveng,22
presidentwarren,21
aftertrumptooktruthserum,21
thankyouace,20
giphyxbts,20
monbebe allaboutluv askmonstax,20
giphyxbts btsarmy,20
aldubxadnmakeithappen,19
resistanceunited,19
britawards brits2020,17
blackhistorymonth,15
nativetwitter,15
pardontheswamp,15
ucl,15
killthislove favechoreography iheartawards,14
brits mjss20,14
jfcavrillavigne,13
allaboutluv askmonstax,13
macron toulouse,13
mots7sweepstakes,13
daytona500,13
4everasen,12
mytwitteranniversary,12
breaking,12
carpoolkaraoke,12
happinessbeginstour,11
onmyblock,11
mufc,11
drinkwineday,11
readytorun,11
leafsforever,11
theyareexobecauseofexo exo,11
brits brits2020,11
nationaldrinkwineday,11
covid19,11
bitcoin,11
deepthoughtsfrombillbarr,10
jeffreestarcosmetics bloodlust,10
aewdark,10
jungkook,10
thebritawards,10
minimike,10
democrats,10
warrenmediablackout,10
bvbpsg,10
lovefromsean,10
trampoline bestremix iheartawards,10
onepoundwarriors,9
mapofthesoultour,9
rtxon,9
btsarmy bestfanarmy iheartawards,9
poshmark fashion style shopmycloset,9
onlybernie,9
wemissyousid,9
atinselfieday,9
twd,9
carpoolkaraoke btscarpoolfeb25,9
outlander,8
sagittarius,8
loseyoutoloveme bestlyrics iheartawards,8
wilderfury2 bombzquad grandarrivals,8
birdsofprey,8
nct,8
win,8
maga kag,8
makeitrightwithyou,8
kimyohan,8
wuhan,7
qanon,7
uncutgems,7
4corners,7
bloomberg,7
wgbhdebate,7
hot100,7
happyjungwooday,7
nada,7
killthislove,7
canucks,7
okbye,7
renewannewithane,7
rogerstone,7
poshmark fashion,7
prayingforryan,7
bernie,7
fakenews coronavius,6
votebluenomatterwho,6
notimetodie brits,6
billieeilish notimetodie brits2020,6
happybirthdayjhope,6
bungacitralestari ashrafsinclair,6
illini,6
allaboutluv askmonstax monstax,6
etsy,6
gators,6
yanggang,6
wetsuwenstrong,6
tittytuesday,6
got7,6
kag,6
twibbon,6
residentevil3remake rebhfun,6
criminalclownpresident,6
iykeresa ultimateloveng,5
mambaforever,5
whereswarren,5
nbaallstar,5
theconners,5
trump,5
socialbizchat,5
cbjvsphi nowornever,5
thensls,5
hongkong,5
btsarmy jhopeday,5
benvenutalalisa blackpink lisa,5
promare galolio,5
seahawks,5
repost,5
thefalconandthewintersoldier,5
transcrowdfund,5
gtlive,5
rip,5
sonicmovie,5
auspol,5
metoo,5
diamondprincess,5
onlyfans,5
letsgopens,5
sb19,5
bernie2020,5
notagainsu,5
hubei covid19,5
newprofilepic,5
boywithluv bestmusicvideo iheartawards,5
supergirl,5
taurus,5
pens,5
dailylie,5
skzunlockinla,5
spygate,5
thereturn,5
cbj,5
realitywinner,5
hearthebern,5
projecta,5
janetdubois,4
exo,4
whereiswarren,4
redrawriegan fireemblemthreehouses fe3h,4
2020dimilixweek,4
tn memphis,4
insteadofballoonsformybirthday,4
jungwoo,4
nevadacaucus,4
instablock,4
capricorn,4
happybirthdayjhope sunshinehobiday bts btsfanart jhopefanart,4
nascar,4
hbdjhope,4
kashmir,4
wendywilliams,4
demdebate,4
writingcommunity,4
findom,4
pickletrump,4
ffxiv,4
bcbudget,4
yr,4
sidnaaz,4
loveisblind,4
master,4
loganact,4
killthislove bestmusicvideo,4
retweet,4
il14,4
ncbtchat,4
auschwitz,4
promchallenge,4
pokemonswsh,4
iran,4
bts btsarmy,4
leafs,4
fakeitlikealtnews,4
elephantnation,4
priceisright,4
pixelart gamedev blender lowpoly,4
ohmfluke,4
fakenews,4
update,4
100daysofcode,4
flyers,4
whiteybulger,4
manifest,4
happybirthdayjhope happyjhopeday,4
wwenxt,4
killthislove favechoreography,4
bernieflag nevadacaucus2020,4
webarebears,4
jbgcommunity,4
dancingwithastranger bestcoversong iheartawards,4
shortyawards,4
nintendoswitchlite,4
treatliamwithkindness,4
pixel4,4
10000hours bestlyrics iheartawards,4
asimriaz,3
goodtimes,3
biomediawarfare,3
segacinematicuniverse,3
bbc,3
siestakey,3
jumsp4p,3
